no,method,survey,score
1,1,1,72
2,3,1,87
3,2,1,78
4,1,1,54
5,2,0,84
6,3,1,44
7,1,0,100
8,2,1,500
9,3,1,58
10,1,0,93
11,3,0,51
12,1,1,64
13,3,0,91
14,1,1,83
15,2,0,59
16,1,1,47
17,2,0,67
18,3,1,52
19,1,0,41
20,2,1,74
21,2,0,85
22,3,1,88
23,1,1,38
24,2,0,33
25,1,0,54
26,3,1,55
27,2,0,73
28,1,1,59
29,3,1,81
30,1,1,95
31,2,1,63
32,2,1,77
33,1,1,56
34,3,1,62
35,2,1,78
36,3,0,84
37,2,1,51
38,3,0,64
39,2,1,68
40,2,0,73
41,3,1,55
42,2,0,58
43,1,0,74
44,3,1,69
45,1,1,52
46,2,0,56
47,2,1,61
48,1,1,77
49,3,1,77
50,1,1,57
51,3,0,61
52,2,1,63
53,1,0,65
54,3,1,65
55,3,0,62
56,2,1,82
57,3,0,65
58,2,1,88
59,1,1,78
60,1,0,438
61,2,1,77
62,1,1,77
63,3,0,79
64,2,1,67
65,1,1,94
66,3,1,94
67,2,0,88
68,3,1,89
69,1,1,98
70,2,1,63
71,3,1,61
72,2,1,63
73,2,1,69
74,1,0,53
75,1,0,47
76,2,1,54
77,1,1,65
78,2,1,62
79,3,1,59
80,1,0,59